FISCAL_YEAR,CATEGORY,AGENCY,APPROPRIATED_FUND,COMPTROLLER_OBJECT,AMOUNT
2018,Operating Fund Transfers,Department of State Health Services,5125 - Gr Acct - Childhood Immunization,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$45,539 "
2018,Operating Fund Transfers,Department of State Health Services,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,885,175 "
2018,Operating Fund Transfers,Department of State Health Services,7660 - Tpfa Go Cml Paper Ser2008 Dshs Prj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$15,269 "
2018,Operating Fund Transfers,District Courts-Comptroller's Judiciary Section,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,127,585 "
2018,Operating Fund Transfers,Employees Retirement System of Texas,"0945 - Def Compensation Trust Fd, Ers",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$901,363 "
2018,Operating Fund Transfers,General Land Office,0044 - Permanent School Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$13,939,685 "
2018,Operating Fund Transfers,General Land Office,0522 - Veterans Land Program Admin Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$348,998 "
2018,Operating Fund Transfers,Governor-Fiscal,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,066,493 "
2018,Operating Fund Transfers,Governor-Fiscal,0224 - Gr Acct-Governors Ofc Federal Proj,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,259,535 "
2018,Operating Fund Transfers,Governor-Fiscal,0421 - Gr Acct-Crim Justice Planning,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$38,945,488 "
2018,Operating Fund Transfers,Governor-Fiscal,0588 - Small Business Incubator Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,254,092 "
2018,Operating Fund Transfers,Governor-Fiscal,0589 - Texas Product Development Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,666,757 "
2018,Operating Fund Transfers,Governor-Fiscal,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$64,018 "
2018,Operating Fund Transfers,Governor-Fiscal,0830 - Events Trust Fd For Certain Muni/Countys,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,512,725 "
2018,Operating Fund Transfers,Governor-Fiscal,0869 - Major Events Reimbursement Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,717,069 "
2018,Operating Fund Transfers,Governor-Fiscal,5003 - Gr Acct-Hotel Occ Tax For Economic Devel,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,366,063 "
2018,Operating Fund Transfers,Governor-Fiscal,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,077,984 "
2018,Operating Fund Transfers,Governor-Fiscal,5012 - Gr Acct - Crime Stoppers Assistance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$868,348 "
2018,Operating Fund Transfers,Governor-Fiscal,5106 - Gr Acct - Economic Dev Bank,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,004,558 "
2018,Operating Fund Transfers,Governor-Fiscal,5107 - Gr Acct - Texas Enterprise,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$185,257,395 "
2018,Operating Fund Transfers,Governor-Fiscal,5124 - Gr Acct - Texas Emerging Technology,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$877,016 "
2018,Operating Fund Transfers,Governor-Fiscal,5149 - Gr Acct-Bp Oil Spill Tx Response Grant,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,940,345 "
2018,Operating Fund Transfers,Governor-Fiscal,5161 - Gr-Acct Governor'S Univ Research Initive,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$44,148,603 "
2018,Operating Fund Transfers,Governor-Fiscal,5164 - Gr Acct-Youth Diversion,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,143,212 "
2018,Operating Fund Transfers,Governor-Fiscal,7027 - Tpfa Go Ser 2007b Tmpc Int & Sink Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$1 
2018,Operating Fund Transfers,Governor-Fiscal,7065 - Tpfa Go Series 2016 Int & Sink Fund Tmpc,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$7 
2018,Operating Fund Transfers,Health and Human Services Commission,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$18,647,154 "
2018,Operating Fund Transfers,Health and Human Services Commission,0107 - Gr Acct-Comprehensive Rehabilitation,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$104 
2018,Operating Fund Transfers,Parks and Wildlife Department,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"($5,809)"
2018,Operating Fund Transfers,Parks and Wildlife Department,"0009 - Gr Account-Game, Fish, Water Safety",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$61,629,521 "
2018,Operating Fund Transfers,Parks and Wildlife Department,0064 - Gr Acct-State Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$40,013,719 "
2018,Operating Fund Transfers,Parks and Wildlife Department,0223 - Gr Acct-Fed Land/Water Conservation,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,707 "
2018,Operating Fund Transfers,Parks and Wildlife Department,0467 - Gr Acct-Tx Recreation & Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,107,310 "
2018,Operating Fund Transfers,Parks and Wildlife Department,0506 - Gr Acct-Non-Game/Endanger Spec,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$875,506 "
2018,Operating Fund Transfers,Parks and Wildlife Department,0544 - Gr Acct-Lifetime Lic Endowmt,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$24,855,717 "
2018,Operating Fund Transfers,Parks and Wildlife Department,0679 - Gr Acct-Artificial Reef,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,165,234 "
2018,Operating Fund Transfers,Parks and Wildlife Department,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,481,115 "
2018,Operating Fund Transfers,Parks and Wildlife Department,0885 - State Parks Endowment Trust Account,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$630,601 "
2018,Operating Fund Transfers,Parks and Wildlife Department,5004 - Gr Acct-Pks/ Wildlife Conserv Atn/Capt'L,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,101,799 "
2018,Operating Fund Transfers,Parks and Wildlife Department,5023 - Gr Acct - Shrimp License Buy Back,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,793,351 "
2018,Operating Fund Transfers,Parks and Wildlife Department,5150 - Gr Acct-Large Count & Munic Rec & Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,475,836 "
2018,Operating Fund Transfers,Parks and Wildlife Department,5166 - Gr Acct-Deferred Maintenance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$143,903 "
2018,Operating Fund Transfers,Parks and Wildlife Department,7635 - Tpfa Go Coml Papr Ser2008 Tpwd Prj 1a Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$32,736 "
2018,Operating Fund Transfers,Parks and Wildlife Department,7647 - Tpfa Go Coml Papr Ser2008 Tpwd Prj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,741 "
2018,Operating Fund Transfers,Parks and Wildlife Department,7654 - Tpfa Go Cml Papr Ser2008 Tpwd Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$982,842 "
2018,Operating Fund Transfers,Parks and Wildlife Department,7659 - Tpfa Go Cml Papr Ser2008 Tpwd Proj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$397,473 "
2018,Operating Fund Transfers,Prairie View A&M University,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$25,297,000 "
2018,Operating Fund Transfers,State Pension Review Board,0662 - St Pension Review Board Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$4 
2018,Operating Fund Transfers,State Preservation Board,0804 - Governor'S Mansion Renewal Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$798,010 "
2018,Operating Fund Transfers,State Preservation Board,0849 - Bob Bullock Tx St His Museum Local Tr Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$644,499 "
2018,Operating Fund Transfers,State Preservation Board,0854 - Capital Renewal Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,962,696 "
2018,Operating Fund Transfers,State Preservation Board,0879 - Capitol Local Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,123,802 "
2018,Operating Fund Transfers,State Preservation Board,0902 - State Cemetery Preservation Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,129,336 "
2018,Operating Fund Transfers,Texas A&M University (Main University),0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$124,606,959 "
2018,Operating Fund Transfers,Texas A&M University System,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$35,000,000 "
2018,Operating Fund Transfers,Texas A&M University System Health Science Center,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,000,000 "
2018,Operating Fund Transfers,Texas A&M University-Central Texas,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,793 "
2018,Operating Fund Transfers,Texas A&M University-Texarkana,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$12,035 "
2018,Operating Fund Transfers,Texas Commission on Environmental Quality,0088 - Gr-Acct Low-Level Radioactive Waste,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$40,378,177 "
2018,Operating Fund Transfers,Texas Commission on Environmental Quality,5071 - Gr Acct-Emissions Reduction Plan,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$910,000,000 "
2018,Operating Fund Transfers,Texas Department of Criminal Justice,5060 - Gr Acct-Private Sector Prison Industries,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$923,819 "
2018,Operating Fund Transfers,Texas Department of Criminal Justice,5166 - Gr Acct-Deferred Maintenance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$948,800 "
2018,Operating Fund Transfers,Texas Department of Public Safety,7209 - Tpfa Go Ser2008a Refndg Dps Project Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$21,396 "
2018,Operating Fund Transfers,Texas Department of Public Safety,7211 - Tpfa Go Series 2009b Dps Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$1 
2018,Operating Fund Transfers,Texas Department of Public Safety,7629 - Tpfa Go Coml Paper Ser2008 Dps Prj 1a Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$736,413 "
2018,Operating Fund Transfers,Texas Department of Public Safety,7648 - Tpfa Go Coml Papr Ser2008 Dps Proj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,430 "
2018,Operating Fund Transfers,Texas Department of Public Safety,7656 - Tpfa Go Cml Papr Ser2008 Dps Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$49,690 "
2018,Operating Fund Transfers,Texas Department of Transportation,7604 - Tpfa Go Ser2002b Coml Pap Colonia Prj Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,797,602 "
2018,Operating Fund Transfers,Texas Education Agency,0002 - Available School Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$103,855,492 "
2018,Operating Fund Transfers,Texas Education Agency,0003 - State Technology Instructional Materials,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$186,296,009 "
2018,Operating Fund Transfers,Texas Education Agency,0193 - Gr Account-Foundation School,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$176,332,684 "
2018,Operating Fund Transfers,Texas Emergency Services Retirement System,0976 - Tx Emergency Services Retirement Tr Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$490,827 "
2018,Operating Fund Transfers,Texas Facilities Commission,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$19,933 "
2018,Operating Fund Transfers,Texas Facilities Commission,5166 - Gr Acct-Deferred Maintenance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$32,071,855 "
2018,Operating Fund Transfers,Texas Facilities Commission,7207 - Tpfa Go Series 2007 Tfc Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$58,883 "
2018,Operating Fund Transfers,Texas Facilities Commission,7217 - Tpfa Go Ser2011 Refundg Tfc Project Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$444,777 "
2018,Operating Fund Transfers,Texas Facilities Commission,7640 - Tpfa Go Coml Papr Ser 2002a Tfc Prj C Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$68,874 "
2018,Operating Fund Transfers,Texas Facilities Commission,7641 - Tpfa Go Coml Papr Ser 2008 Tfc Prj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$82,137 "
2018,Operating Fund Transfers,Texas Facilities Commission,7652 - Tpfa Go Cml Paper Ser2008 Tfc Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$357,369 "
2018,Operating Fund Transfers,Texas Facilities Commission,7657 - Tpfa Go Cml Paper Ser2008 Tfc Proj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$639,000 "
2018,Operating Fund Transfers,Texas Facilities Commission,7800 - Tpfa Rv Com Pap Srs 16 Tfc Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$12,782,919 "
2018,Operating Fund Transfers,Texas Higher Education Coordinating Board,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$83,709 "
2018,Operating Fund Transfers,Texas Higher Education Coordinating Board,0387 - Texas Opportunity Plan Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$32,264,151 "
2018,Operating Fund Transfers,Texas Higher Education Coordinating Board,0388 - Tx Coll Student Loan Bond I&S,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$117,747,641 "
2018,Operating Fund Transfers,Texas Higher Education Coordinating Board,0601 - Student Loan Auxiliary Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$120,601,720 "
2018,Operating Fund Transfers,Texas Higher Education Coordinating Board,0697 - Student Loan Revenue Bond Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$87,909 "
2018,Operating Fund Transfers,Texas Higher Education Coordinating Board,0824 - Perm Fd Hied Nursing/Allied/Other Health,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,284,830 "
2018,Operating Fund Transfers,Texas Higher Education Coordinating Board,0825 - Perm Fd Minority Hlth Research/Education,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,814,825 "
2018,Operating Fund Transfers,Texas Higher Education Coordinating Board,5103 - Gr Acct - Texas B-On-Time Student Loan,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$131,600,638 "
2018,Operating Fund Transfers,Texas Higher Education Coordinating Board,5144 - Gr Acct - Physician Educ Loan Repmt Prog,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,120,540 "
2018,Operating Fund Transfers,Texas Historical Commission,7213 - Tpfa Go Series 2009b Thc Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,005,912 "
2018,Operating Fund Transfers,Texas Historical Commission,7650 - Tpfa Go Cml Paper Ser2008 Thc Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$815,247 "
2018,Operating Fund Transfers,Texas Lottery Commission,0895 - Lotto Prize Trust Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$295,887,847 "
2018,Operating Fund Transfers,Texas Lottery Commission,5025 - Gr Acct-Lottery,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,058,140 "
2018,Operating Fund Transfers,Texas Military Department,7661 - Tpfa Go Cml Paper Ser2008 Tmd Prj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$272,827 "
2018,Operating Fund Transfers,Texas Public Finance Authority,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,000 "
2018,Operating Fund Transfers,Texas Public Finance Authority,0733 - Tpfa Master Lease Interest/Sinking Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,986,651 "
2018,Operating Fund Transfers,Texas Public Finance Authority,0844 - Twc Obligation Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$369 
2018,Operating Fund Transfers,Texas Public Finance Authority,5044 - Gr Acct-Perm Fd Health/Tobacco Ed/Enforc,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$12,563,198 "
2018,Operating Fund Transfers,Texas Public Finance Authority,5045 - Gr Acct-Perm Fd Children & Public Health,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,281,599 "
2018,Operating Fund Transfers,Texas Public Finance Authority,5046 - Gr Acct-Perm Fd For Ems And Trauma Care,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,281,597 "
2018,Operating Fund Transfers,Texas Public Finance Authority,7013 - Tpfa Go Ser 2002a Int & Sink Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,468 "
2018,Operating Fund Transfers,Texas Public Finance Authority,7020 - Tpfa Go Ser2002b Coml Pap Colonia Rebate,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$120,519 "
2018,Operating Fund Transfers,Texas Public Finance Authority,7035 - Tpfa Go Coml Paper Series 2008 Rebate Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$48 
2018,Operating Fund Transfers,Texas Public Finance Authority,7065 - Tpfa Go Series 2016 Int & Sink Fund Tmpc,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$28,526 "
2018,Operating Fund Transfers,Texas Public Finance Authority,"7067 - Tpfa Go & Ref (Cprit), 2017 Int & Sink",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$46,998 "
2018,Operating Fund Transfers,Texas Public Finance Authority,"7069 - Tpfa Go Ref. Series 2017a, Int & Sinking",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$30,095 "
2018,Operating Fund Transfers,Texas Public Finance Authority,7201 - Tpfa Go Ser 2002a Coml Paper Tdh Proj A,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,701 "
2018,Operating Fund Transfers,Texas Southern University,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,949 "
2018,Operating Fund Transfers,Texas State Library and Archives Commission,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$32,506 "
2018,Operating Fund Transfers,Texas State Technical College System,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,739 "
2018,Operating Fund Transfers,Texas Tech University,0214 - Available Texas University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$28,152,495 "
2018,Operating Fund Transfers,Texas Veterans Commission,0368 - Fund For Veterans' Assistance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$12,000,000 "
2018,Operating Fund Transfers,Texas Water Development Board,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$561,492 "
2018,Operating Fund Transfers,Texas Water Development Board,0301 - Rural Water Assistance Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$412,445 "
2018,Operating Fund Transfers,Texas Water Development Board,0302 - Water Infrastructure Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,064,802 "
2018,Operating Fund Transfers,Texas Water Development Board,0356 - Economicaly Distrs Areas Cl Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$396,441 "
2018,Operating Fund Transfers,Texas Water Development Board,0357 - Economic Distrs Area Cl I&S Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$12,072 "
2018,Operating Fund Transfers,Texas Water Development Board,0358 - Agrig Water Conservation Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,348,664 "
2018,Operating Fund Transfers,Texas Water Development Board,0361 - State Water Implementation,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$222,077,722 "
2018,Operating Fund Transfers,Texas Water Development Board,0370 - Tx Water Development Fd Ii Clearance Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$78,136,107 "
2018,Operating Fund Transfers,Texas Water Development Board,0371 - Tx Water Development Fd Ii,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$30,820,608 "
2018,Operating Fund Transfers,Texas Water Development Board,0372 - Tx Water Devel Fd Ii Int & Sink Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$38,646 "
2018,Operating Fund Transfers,Texas Water Development Board,0480 - Water Assistance Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$13,350,666 "
2018,Operating Fund Transfers,Texas Water Development Board,0481 - Water Loan Assistance Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,835,884 "
2018,Operating Fund Transfers,Texas Workforce Commission,0925 - Career School/College Tuition Trust Acct,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,474,723 "
2018,Operating Fund Transfers,University of Houston,0214 - Available Texas University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$13,654,053 "
2018,Operating Fund Transfers,University of Houston-Victoria,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,106 "
2018,Operating Fund Transfers,University of Texas Health Science Center at Houston,0822 - Perm Endowmnt Fd Ut Reg Acad Health Ctr,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,000,000 "
2018,Operating Fund Transfers,University of Texas M.D. Anderson Cancer Center,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$594 
2018,Operating Fund Transfers,University of Texas of the Permian Basin,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$23,810 "
2018,Operating Fund Transfers,West Texas A&M University,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$247 
2017,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$73 
2017,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,5136 - Gr Acct - Cancer Prevention And Research,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,563,186 "
2017,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$206,192,072 "
2017,Operating Fund Transfers,Commission on State Emergency Communications,0875 - Emerg Svs Fee On Wireless Telecom Tr Fnd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$9,409,855 "
2017,Operating Fund Transfers,Commission on State Emergency Communications,5007 - Gr Acct Comm On State Emergency Comm,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$42,960,307 "
2017,Operating Fund Transfers,Commission on State Emergency Communications,5050 - Gr Acct-911 Service Fees,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$152,358,822 "
2017,Operating Fund Transfers,Comptroller of Public Accounts,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,830,211 "
2017,Operating Fund Transfers,Comptroller-Prepaid Higher Education Tuition Board,0892 - Tx Tomorrow Constitutional Trust Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$34,333 "
2017,Operating Fund Transfers,Comptroller-State Energy Conservation Office,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$33,159,045 "
2017,Operating Fund Transfers,Comptroller-State Energy Conservation Office,5005 - Gr Acct - Oil Overcharge,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$18,661,751 "
2017,Operating Fund Transfers,Comptroller-State Fiscal,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,873,888,452 "
2017,Operating Fund Transfers,Comptroller-State Fiscal,5040 - Gr Acct-Tobacco Settlement,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$82,181,015 "
2017,Operating Fund Transfers,Comptroller-State Fiscal,5160 - Gr Acct-Disabled Veterans Local Gov Asst,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,500,000 "
2017,Operating Fund Transfers,Department of Aging and Disability Services,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$12,294,693 "
2017,Operating Fund Transfers,Department of Aging and Disability Services,5018 - Gr Acct - Home Health Services,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$9,231,456 "
2017,Operating Fund Transfers,Department of Aging and Disability Services,5080 - Gr Acct-Quality Assurance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$18,210,333 "
2017,Operating Fund Transfers,Department of Aging and Disability Services,7644 - Tpfa Go Coml Papr Ser2008 Dads Prj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$22,717 "
2017,Operating Fund Transfers,Department of Aging and Disability Services,7658 - Tpfa Go Cml Paper Ser2008 Dads Prj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$24,438 "
2017,Operating Fund Transfers,Department of Agriculture,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,394,975 "
2017,Operating Fund Transfers,Department of Agriculture,0183 - Tx Economic Development Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,584,515 "
2017,Operating Fund Transfers,Department of Agriculture,0364 - Perm Endow Fd Rurl Com Health Care Invst,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$327,924 "
2017,Operating Fund Transfers,Department of Agriculture,0683 - Tex Agricultural Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,083,446 "
2017,Operating Fund Transfers,Department of Agriculture,5047 - Gr Acct-Perm Fd Rural Health Fac Cap Imp,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$520,991 "
2017,Operating Fund Transfers,Department of Agriculture,5051 - Gr Acct-Go Texan Partner Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,479 "
2017,Operating Fund Transfers,Department of Assistive and Rehabilitative Services,0422 - Gr Acct-Dept Of Asst & Rehab Svcs,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$203 
2017,Operating Fund Transfers,Department of Family and Protective Services,5085 - Gr Acct-Child Abuse Neg/Prev Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$11,410,309 "
2017,Operating Fund Transfers,Department of State Health Services,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$21,304 "
2017,Operating Fund Transfers,Department of State Health Services,0019 - Gr Acct-Vital Statistics,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,730,907 "
2017,Operating Fund Transfers,Department of State Health Services,0129 - Gr Acct-Hospital Licensing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,384,975 "
